"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 01 20:35:30 UTC 2025","Wed Jan 01 20:35:34 UTC 2025","3671","tests","test_ultimateqa_ui_po","","","","Выбор автомобиля 'Audi'",""
"passed","Wed Jan 01 20:36:03 UTC 2025","Wed Jan 01 20:36:05 UTC 2025","2383","tests","test_ultimateqa_ui","","","","Проверка текста ячейки таблицы",""
"passed","Wed Jan 01 20:35:28 UTC 2025","Wed Jan 01 20:35:30 UTC 2025","2471","tests","test_ultimateqa_ui_po","","","","Выбор чекбокса 'Bike'",""
"passed","Wed Jan 01 20:35:24 UTC 2025","Wed Jan 01 20:35:28 UTC 2025","3636","tests","test_ultimateqa_ui_po","","","","Выбор радио-кнопки 'female'",""
"passed","Wed Jan 01 20:35:42 UTC 2025","Wed Jan 01 20:35:44 UTC 2025","2589","tests","test_ultimateqa_ui","","","","Клик на ссылке по относительному пути",""
"passed","Wed Jan 01 20:35:34 UTC 2025","Wed Jan 01 20:35:36 UTC 2025","2403","tests","test_ultimateqa_ui_po","","","","Проверка текста ячейки таблицы",""
"passed","Wed Jan 01 20:35:59 UTC 2025","Wed Jan 01 20:36:03 UTC 2025","3622","tests","test_ultimateqa_ui","","","","Выбор автомобиля 'Audi'",""
"passed","Wed Jan 01 20:35:44 UTC 2025","Wed Jan 01 20:35:53 UTC 2025","8297","tests","test_ultimateqa_ui","","","","Ввод текста в форму",""
"passed","Wed Jan 01 20:35:15 UTC 2025","Wed Jan 01 20:35:24 UTC 2025","9379","tests","test_ultimateqa_ui_po","","","","Проверка ввода текста в форму",""
"passed","Wed Jan 01 20:35:37 UTC 2025","Wed Jan 01 20:35:42 UTC 2025","5259","tests","test_ultimateqa_ui","","","","Клик на кнопке по атрибуту name",""
"passed","Wed Jan 01 20:35:56 UTC 2025","Wed Jan 01 20:35:59 UTC 2025","2384","tests","test_ultimateqa_ui","","","","Выбор чекбокса 'Bike'",""
"passed","Wed Jan 01 20:35:53 UTC 2025","Wed Jan 01 20:35:56 UTC 2025","3634","tests","test_ultimateqa_ui","","","","Выбор радио-кнопки 'female'",""
